Site Name ,OUTSIDE2211
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,4608


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

517,22/11/2018 , 18:37:00,0,0
518,22/11/2018 , 18:38:00,0,0
519,22/11/2018 , 18:39:00,0,0
520,22/11/2018 , 18:40:00,0,0
521,22/11/2018 , 18:41:00,0,0
522,22/11/2018 , 18:42:00,0,0
523,22/11/2018 , 18:43:00,0,0
524,22/11/2018 , 18:44:00,0,0
525,22/11/2018 , 18:45:00,0,0
526,22/11/2018 , 18:46:00,0,0
527,22/11/2018 , 18:47:00,0,0
528,22/11/2018 , 18:48:00,0,0
529,22/11/2018 , 18:49:00,0,0
530,22/11/2018 , 18:50:00,0,0
531,22/11/2018 , 18:51:00,0,0
532,22/11/2018 , 18:52:00,0,0
533,22/11/2018 , 18:53:00,0,0
534,22/11/2018 , 18:54:00,0,0
535,22/11/2018 , 18:55:00,0,0
536,22/11/2018 , 18:56:00,0,0
537,22/11/2018 , 18:57:00,0,0
538,22/11/2018 , 18:58:00,0,0
539,22/11/2018 , 18:59:00,0,0
540,22/11/2018 , 19:00:00,0,0
541,22/11/2018 , 19:01:00,0,0
542,22/11/2018 , 19:02:00,0,0
543,22/11/2018 , 19:03:00,0,0
544,22/11/2018 , 19:04:00,0,0
545,22/11/2018 , 19:05:00,0,0
546,22/11/2018 , 19:06:00,0,0
547,22/11/2018 , 19:07:00,0,0
548,22/11/2018 , 19:08:00,0,0
549,22/11/2018 , 19:09:00,0,0
550,22/11/2018 , 19:10:00,0,0
551,22/11/2018 , 19:11:00,0,0
552,22/11/2018 , 19:12:00,0,0
553,22/11/2018 , 19:13:00,0,0
554,22/11/2018 , 19:14:00,0,0
555,22/11/2018 , 19:15:00,0,0
556,22/11/2018 , 19:16:00,0,0
557,22/11/2018 , 19:17:00,0,0
558,22/11/2018 , 19:18:00,0,0
559,22/11/2018 , 19:19:00,0,0
560,22/11/2018 , 19:20:00,0,0
561,22/11/2018 , 19:21:00,0,0
562,22/11/2018 , 19:22:00,0,0
563,22/11/2018 , 19:23:00,0,0
564,22/11/2018 , 19:24:00,0,0
565,22/11/2018 , 19:25:00,0,0
566,22/11/2018 , 19:26:00,0,0
567,22/11/2018 , 19:27:00,0,0
568,22/11/2018 , 19:28:00,0,0
569,22/11/2018 , 19:29:00,0,0
570,22/11/2018 , 19:30:00,0,0
571,22/11/2018 , 19:31:00,0,0
572,22/11/2018 , 19:32:00,0,0
573,22/11/2018 , 19:33:00,0,0
574,22/11/2018 , 19:34:00,0,0
575,22/11/2018 , 19:35:00,0,0
576,22/11/2018 , 19:36:00,0,0
577,22/11/2018 , 19:37:00,0,0
578,22/11/2018 , 19:38:00,0,0
579,22/11/2018 , 19:39:00,0,0
580,22/11/2018 , 19:40:00,0,0
581,22/11/2018 , 19:41:00,0,0
582,22/11/2018 , 19:42:00,0,0
583,22/11/2018 , 19:43:00,0,0
584,22/11/2018 , 19:44:00,0,0
585,22/11/2018 , 19:45:00,0,0
586,22/11/2018 , 19:46:00,0,0
587,22/11/2018 , 19:47:00,0,0
588,22/11/2018 , 19:48:00,0,0
589,22/11/2018 , 19:49:00,0,0
590,22/11/2018 , 19:50:00,0,0
591,22/11/2018 , 19:51:00,0,0
592,22/11/2018 , 19:52:00,0,0
593,22/11/2018 , 19:53:00,0,0
594,22/11/2018 , 19:54:00,0,0
595,22/11/2018 , 19:55:00,0,0
596,22/11/2018 , 19:56:00,0,0
597,22/11/2018 , 19:57:00,0,0
598,22/11/2018 , 19:58:00,0,0
599,22/11/2018 , 19:59:00,0,0
600,22/11/2018 , 20:00:00,0,0
601,22/11/2018 , 20:01:00,0,0
602,22/11/2018 , 20:02:00,0,0
603,22/11/2018 , 20:03:00,0,0
604,22/11/2018 , 20:04:00,0,0
605,22/11/2018 , 20:05:00,0,0
606,22/11/2018 , 20:06:00,0,0
607,22/11/2018 , 20:07:00,0,0
608,22/11/2018 , 20:08:00,0,0
609,22/11/2018 , 20:09:00,0,0
610,22/11/2018 , 20:10:00,0,0
611,22/11/2018 , 20:11:00,0,0
612,22/11/2018 , 20:12:00,0,0
613,22/11/2018 , 20:13:00,0,0
614,22/11/2018 , 20:14:00,0,0
615,22/11/2018 , 20:15:00,0,0
