Site Name ,EXPERIMENT
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,4607


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

423,27/11/2018 , 16:03:00,315,315
424,27/11/2018 , 16:04:00,171,171
425,27/11/2018 , 16:05:00,122,122
426,27/11/2018 , 16:06:00,107,107
427,27/11/2018 , 16:07:00,118,118
428,27/11/2018 , 16:08:00,181,181
429,27/11/2018 , 16:09:00,187,187
430,27/11/2018 , 16:10:00,128,128
431,27/11/2018 , 16:11:00,126,126
432,27/11/2018 , 16:12:00,123,123
433,27/11/2018 , 16:13:00,153,153
434,27/11/2018 , 16:14:00,254,254
435,27/11/2018 , 16:15:00,181,181
436,27/11/2018 , 16:16:00,129,129
437,27/11/2018 , 16:17:00,154,154
438,27/11/2018 , 16:18:00,149,149
439,27/11/2018 , 16:19:00,188,188
440,27/11/2018 , 16:20:00,218,218
441,27/11/2018 , 16:21:00,209,209
442,27/11/2018 , 16:22:00,170,170
443,27/11/2018 , 16:23:00,98,98
444,27/11/2018 , 16:24:00,119,119
445,27/11/2018 , 16:25:00,155,155
446,27/11/2018 , 16:26:00,182,182
447,27/11/2018 , 16:27:00,190,190
448,27/11/2018 , 16:28:00,185,185
449,27/11/2018 , 16:29:00,163,163
450,27/11/2018 , 16:30:00,140,140
451,27/11/2018 , 16:31:00,131,131
452,27/11/2018 , 16:32:00,133,133
453,27/11/2018 , 16:33:00,139,139
454,27/11/2018 , 16:34:00,127,127
455,27/11/2018 , 16:35:00,113,113
456,27/11/2018 , 16:36:00,106,106
457,27/11/2018 , 16:37:00,109,109
458,27/11/2018 , 16:38:00,101,101
459,27/11/2018 , 16:39:00,106,106
460,27/11/2018 , 16:40:00,115,115
461,27/11/2018 , 16:41:00,111,111
462,27/11/2018 , 16:42:00,105,105
463,27/11/2018 , 16:43:00,95,95
464,27/11/2018 , 16:44:00,84,84
465,27/11/2018 , 16:45:00,83,83
466,27/11/2018 , 16:46:00,83,83
467,27/11/2018 , 16:47:00,77,77
468,27/11/2018 , 16:48:00,72,72
469,27/11/2018 , 16:49:00,70,70
470,27/11/2018 , 16:50:00,73,73
471,27/11/2018 , 16:51:00,74,74
472,27/11/2018 , 16:52:00,72,72
473,27/11/2018 , 16:53:00,68,68
474,27/11/2018 , 16:54:00,66,66
475,27/11/2018 , 16:55:00,66,66
476,27/11/2018 , 16:56:00,67,67
477,27/11/2018 , 16:57:00,67,67
478,27/11/2018 , 16:58:00,65,65
479,27/11/2018 , 16:59:00,66,66
480,27/11/2018 , 17:00:00,70,70
481,27/11/2018 , 17:01:00,69,69
482,27/11/2018 , 17:02:00,68,68
483,27/11/2018 , 17:03:00,71,71
484,27/11/2018 , 17:04:00,72,72
485,27/11/2018 , 17:05:00,65,65
486,27/11/2018 , 17:06:00,58,58
487,27/11/2018 , 17:07:00,56,56
488,27/11/2018 , 17:08:00,59,59
489,27/11/2018 , 17:09:00,65,65
490,27/11/2018 , 17:10:00,68,68
491,27/11/2018 , 17:11:00,67,67
492,27/11/2018 , 17:12:00,70,70
493,27/11/2018 , 17:13:00,69,69
494,27/11/2018 , 17:14:00,68,68
495,27/11/2018 , 17:15:00,70,70
496,27/11/2018 , 17:16:00,77,77
497,27/11/2018 , 17:17:00,75,75
498,27/11/2018 , 17:18:00,63,63
499,27/11/2018 , 17:19:00,50,50
500,27/11/2018 , 17:20:00,46,46
501,27/11/2018 , 17:21:00,43,43
502,27/11/2018 , 17:22:00,40,40
503,27/11/2018 , 17:23:00,40,40
504,27/11/2018 , 17:24:00,40,40
505,27/11/2018 , 17:25:00,38,38
506,27/11/2018 , 17:26:00,38,38
507,27/11/2018 , 17:27:00,38,38
508,27/11/2018 , 17:28:00,38,38
509,27/11/2018 , 17:29:00,37,37
510,27/11/2018 , 17:30:00,39,39
511,27/11/2018 , 17:31:00,45,45
512,27/11/2018 , 17:32:00,42,42
513,27/11/2018 , 17:33:00,37,37
514,27/11/2018 , 17:34:00,36,36
515,27/11/2018 , 17:35:00,35,35
516,27/11/2018 , 17:36:00,39,39
517,27/11/2018 , 17:37:00,49,49
518,27/11/2018 , 17:38:00,54,54
519,27/11/2018 , 17:39:00,47,47
520,27/11/2018 , 17:40:00,40,40
521,27/11/2018 , 17:41:00,29,29
522,27/11/2018 , 17:42:00,25,25
523,27/11/2018 , 17:43:00,22,22
524,27/11/2018 , 17:44:00,20,20
525,27/11/2018 , 17:45:00,18,18
526,27/11/2018 , 17:46:00,16,16
527,27/11/2018 , 17:47:00,15,15
528,27/11/2018 , 17:48:00,14,14
529,27/11/2018 , 17:49:00,14,14
530,27/11/2018 , 17:50:00,13,13
531,27/11/2018 , 17:51:00,13,13
532,27/11/2018 , 17:52:00,12,12
533,27/11/2018 , 17:53:00,12,12
534,27/11/2018 , 17:54:00,12,12
535,27/11/2018 , 17:55:00,10,10
536,27/11/2018 , 17:56:00,10,10
537,27/11/2018 , 17:57:00,9,9
538,27/11/2018 , 17:58:00,9,9
539,27/11/2018 , 17:59:00,7,7
540,27/11/2018 , 18:00:00,7,7
541,27/11/2018 , 18:01:00,7,7
542,27/11/2018 , 18:02:00,5,5
543,27/11/2018 , 18:03:00,5,5
544,27/11/2018 , 18:04:00,4,4
545,27/11/2018 , 18:05:00,3,3
546,27/11/2018 , 18:06:00,3,3
547,27/11/2018 , 18:07:00,2,2
548,27/11/2018 , 18:08:00,2,2
549,27/11/2018 , 18:09:00,2,2
550,27/11/2018 , 18:10:00,1,1
551,27/11/2018 , 18:11:00,2,2
552,27/11/2018 , 18:12:00,1,1
553,27/11/2018 , 18:13:00,1,1
554,27/11/2018 , 18:14:00,1,1
555,27/11/2018 , 18:15:00,0,0
556,27/11/2018 , 18:16:00,1,1
557,27/11/2018 , 18:17:00,0,0
558,27/11/2018 , 18:18:00,1,1
559,27/11/2018 , 18:19:00,0,0
560,27/11/2018 , 18:20:00,0,0
561,27/11/2018 , 18:21:00,0,0
562,27/11/2018 , 18:22:00,0,0
563,27/11/2018 , 18:23:00,0,0
564,27/11/2018 , 18:24:00,0,0
565,27/11/2018 , 18:25:00,0,0
566,27/11/2018 , 18:26:00,0,0
567,27/11/2018 , 18:27:00,0,0
568,27/11/2018 , 18:28:00,0,0
569,27/11/2018 , 18:29:00,0,0
570,27/11/2018 , 18:30:00,0,0
571,27/11/2018 , 18:31:00,0,0
572,27/11/2018 , 18:32:00,0,0
573,27/11/2018 , 18:33:00,0,0
574,27/11/2018 , 18:34:00,0,0
575,27/11/2018 , 18:35:00,0,0
576,27/11/2018 , 18:36:00,0,0
577,27/11/2018 , 18:37:00,0,0
578,27/11/2018 , 18:38:00,0,0
579,27/11/2018 , 18:39:00,0,0
580,27/11/2018 , 18:40:00,0,0
581,27/11/2018 , 18:41:00,0,0
582,27/11/2018 , 18:42:00,0,0
583,27/11/2018 , 18:43:00,0,0
584,27/11/2018 , 18:44:00,0,0
585,27/11/2018 , 18:45:00,0,0
586,27/11/2018 , 18:46:00,0,0
587,27/11/2018 , 18:47:00,0,0
588,27/11/2018 , 18:48:00,0,0
589,27/11/2018 , 18:49:00,0,0
590,27/11/2018 , 18:50:00,0,0
591,27/11/2018 , 18:51:00,0,0
592,27/11/2018 , 18:52:00,0,0
593,27/11/2018 , 18:53:00,0,0
594,27/11/2018 , 18:54:00,0,0
595,27/11/2018 , 18:55:00,0,0
596,27/11/2018 , 18:56:00,0,0
597,27/11/2018 , 18:57:00,0,0
598,27/11/2018 , 18:58:00,0,0
599,27/11/2018 , 18:59:00,0,0
600,27/11/2018 , 19:00:00,0,0
601,27/11/2018 , 19:01:00,0,0
602,27/11/2018 , 19:02:00,0,0
603,27/11/2018 , 19:03:00,0,0
604,27/11/2018 , 19:04:00,0,0
605,27/11/2018 , 19:05:00,0,0
606,27/11/2018 , 19:06:00,0,0
607,27/11/2018 , 19:07:00,0,0
608,27/11/2018 , 19:08:00,0,0
609,27/11/2018 , 19:09:00,0,0
610,27/11/2018 , 19:10:00,0,0
611,27/11/2018 , 19:11:00,0,0
612,27/11/2018 , 19:12:00,0,0
613,27/11/2018 , 19:13:00,0,0
614,27/11/2018 , 19:14:00,0,0
615,27/11/2018 , 19:15:00,0,0
616,27/11/2018 , 19:16:00,0,0
617,27/11/2018 , 19:17:00,0,0
618,27/11/2018 , 19:18:00,0,0
619,27/11/2018 , 19:19:00,0,0
620,27/11/2018 , 19:20:00,0,0
621,27/11/2018 , 19:21:00,0,0
622,27/11/2018 , 19:22:00,0,0
623,27/11/2018 , 19:23:00,0,0
624,27/11/2018 , 19:24:00,0,0
625,27/11/2018 , 19:25:00,0,0
626,27/11/2018 , 19:26:00,0,0
627,27/11/2018 , 19:27:00,0,0
628,27/11/2018 , 19:28:00,0,0
629,27/11/2018 , 19:29:00,0,0
630,27/11/2018 , 19:30:00,0,0
631,27/11/2018 , 19:31:00,0,0
632,27/11/2018 , 19:32:00,0,0
633,27/11/2018 , 19:33:00,0,0
634,27/11/2018 , 19:34:00,0,0
635,27/11/2018 , 19:35:00,0,0
636,27/11/2018 , 19:36:00,0,0
637,27/11/2018 , 19:37:00,0,0
638,27/11/2018 , 19:38:00,0,0
639,27/11/2018 , 19:39:00,0,0
640,27/11/2018 , 19:40:00,0,0
641,27/11/2018 , 19:41:00,0,0
